project,age,firstAppeared,firstAppearedIndex,lastDetected,lastDetectedIndex,smellType,uniqueSmellID,version,versionIndex,versionDate,smellIdInVersion,affectedClassesRatio,affectedComponentType,affectedDesignLevel,afferentAffectedRatio,avrgEdgeWeight,avrgInternalPathLength,avrgNumOfChanges,efferentAffectedRatio,instabilityGap,numOfEdges,numOfInheritanceEdges,numOfPrivateUseEdges,numOfPublicUseEdges,overlapRatio,overlapRatiocyclicDep,overlapRatiounstableDep,pageRankAvrg,pageRankMax,parentCentrality,shape,size,strength,affectedElements
antlr,4,3.0,12,3.1.1,15,cyclicDep,152,3.0.1,13,,6399,NA,package,architecturalOnly,NA,5.5,NA,0,NA,NA,22,0,0,0,1.0,NA,NA,0.06066856284989877,0.06234801582272664,0,tiny,2,NA,"[org.antlr.runtime, org.antlr.runtime.tree]"
antlr,4,3.0,12,3.1.1,15,cyclicDep,152,3.1,14,,15632,NA,package,architecturalOnly,NA,6.0,NA,0,NA,NA,24,0,0,0,1.0,NA,NA,0.016019993090398265,0.01605455099660643,0,tiny,2,NA,"[org.antlr.runtime, org.antlr.runtime.tree]"
antlr,4,3.0,12,3.1.1,15,cyclicDep,152,3.1.1,15,,15632,NA,package,architecturalOnly,NA,6.0,NA,0,NA,NA,24,0,0,0,1.0,NA,NA,0.016019993090398265,0.01605455099660643,0,tiny,2,NA,"[org.antlr.runtime, org.antlr.runtime.tree]"
antlr,1,4.0,22,4.0,22,cyclicDep,1069,4.0,22,,17836,NA,class,designOnly,NA,6.8,NA,0,NA,NA,68,4,0,0,1.0,NA,NA,8.303953651804061E-4,0.0010094182854895203,0,unclassified,3,NA,"[org.antlr.v4.codegen.DefaultOutputModelFactory, org.antlr.v4.codegen.OutputModelController, org.antlr.v4.codegen.SourceGenTriggers]"
antlr,1,4.0,22,4.0,22,cyclicDep,1172,4.0,22,,16455,NA,class,designOnly,NA,11.4,NA,0,NA,NA,114,4,0,0,1.0,NA,NA,0.0020078963847560754,0.0033490116494195622,0,unclassified,4,NA,"[org.stringtemplate.v4.Interpreter, org.stringtemplate.v4.STGroup, org.stringtemplate.v4.misc.ErrorManager, org.stringtemplate.v4.misc.STRuntimeMessage]"
antlr,1,3.5,21,3.5,21,cyclicDep,983,3.5,21,,21979,NA,class,designOnly,NA,4.916666666666667,NA,0,NA,NA,236,7,0,0,1.0,NA,NA,0.0019195510985178283,0.005103416982156293,0,unclassified,9,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DecisionProbe, org.antlr.analysis.NFAState, org.antlr.tool.CompositeGrammar, org.antlr.tool.ErrorManager, org.antlr.tool.GrammarAST, org.antlr.tool.GrammarNonDeterminismMessage, org.antlr.tool.LeftRecursiveRuleAnalyzer, org.antlr.tool.ToolSTGroupFile]"
antlr,1,3.1.2,16,3.1.2,16,cyclicDep,429,3.1.2,16,,6494,NA,class,designOnly,NA,5.9655172413793105,NA,0,NA,NA,350,14,0,0,1.0,NA,NA,0.014011573566041019,0.06926066335700472,0,unclassified,11,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.NFAToDFAConverter, org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate, org.antlr.codegen.CodeGenerator, org.antlr.grammar.v2.CodeGenTreeWalker, org.antlr.tool.AttributeScope, org.antlr.tool.ErrorManager, org.antlr.tool.GrammarNonDeterminismMessage, org.antlr.tool.Rule]"
antlr,1,3.5,21,3.5,21,cyclicDep,992,3.5,21,,21939,NA,class,designOnly,NA,7.0638297872340425,NA,0,NA,NA,664,10,0,0,1.0,NA,NA,0.0023470030060410286,0.007819227149510128,0,unclassified,12,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DecisionProbe, org.antlr.analysis.NFAState, org.antlr.tool.Attribute, org.antlr.tool.AttributeScope, org.antlr.tool.CompositeGrammar, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarAST, org.antlr.tool.GrammarNonDeterminismMessage, org.antlr.tool.LeftRecursiveRuleAnalyzer, org.antlr.tool.NameSpaceChecker]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,328,3.1.1,15,,13790,NA,class,designOnly,NA,4.666666666666667,NA,0,NA,NA,112,16,0,0,1.0,NA,NA,0.0031781794128340436,0.005749581251940884,0,unclassified,5,NA,"[antlr.AlternativeBlock, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.Grammar, antlr.Tool]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,328,3.1,14,,13790,NA,class,designOnly,NA,4.666666666666667,NA,0,NA,NA,112,16,0,0,1.0,NA,NA,0.003178185471134681,0.0057495922127145365,0,unclassified,5,NA,"[antlr.AlternativeBlock, antlr.CodeGenerator, antlr.DefaultToolErrorHandler, antlr.Grammar, antlr.Tool]"
antlr,1,3.1.2,16,3.1.2,16,cyclicDep,462,3.1.2,16,,7056,NA,class,designOnly,NA,6.533333333333333,NA,0,NA,NA,198,4,0,0,1.0,NA,NA,0.02547788614642162,0.06926066335700472,0,unclassified,7,NA,"[org.antlr.analysis.NFA, org.antlr.grammar.v2.AssignTokenTypesWalker, org.antlr.tool.AssignTokenTypesBehavior, org.antlr.tool.CompositeGrammar, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarInsufficientPredicatesMessage]"
antlr,1,3.1.2,16,3.1.2,16,cyclicDep,378,3.1.2,16,,5885,NA,class,designOnly,NA,2.4444444444444446,NA,0,NA,NA,48,7,0,0,1.0,NA,NA,0.009576624734424456,0.014774432405992018,0,unclassified,5,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate, org.antlr.codegen.ACyclicDFACodeGenerator, org.antlr.codegen.CodeGenerator]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.1.3,17,,15246,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.0020737694676086584,0.0028389697458241743,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.1,14,,14710,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.0022834482623015403,0.0031399882597018727,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.2,18,,18097,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.00175307962869665,0.0023999100339188806,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.4,20,,21884,NA,class,designOnly,NA,5.25,NA,0,NA,NA,46,7,0,0,1.0,NA,NA,0.0013761792725285294,0.001981829391213737,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.0,12,,5022,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.010052418537088416,0.013712813265452331,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.1.2,16,,5814,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.010766019226087742,0.014774432405992018,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.0.1,13,,5213,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.009445053261575862,0.012882619882155548,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.1.1,15,,14710,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.00228265569436193,0.0031384822094474322,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,9,3.0,12,3.4,20,cyclicDep,162,3.3,19,,17370,NA,class,designOnly,NA,2.75,NA,0,NA,NA,26,7,0,0,1.0,NA,NA,0.0018313557463676992,0.0025502173080591676,0,unclassified,3,NA,"[org.antlr.analysis.SemanticContext, org.antlr.analysis.SemanticContext$Predicate, org.antlr.analysis.SemanticContext$TruePredicate]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,248,3.1.1,15,,15625,NA,package,architecturalOnly,NA,4.0,NA,0,NA,NA,136,0,0,0,1.0,NA,NA,0.011234718761426657,0.016414374181715975,0,star,7,NA,"[antlr, antlr.actions.cpp, antlr.actions.csharp, antlr.actions.java, antlr.actions.python, antlr.collections.impl, antlr.preprocessor]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,248,3.1,14,,15625,NA,package,architecturalOnly,NA,4.0,NA,0,NA,NA,136,0,0,0,1.0,NA,NA,0.011234718761426654,0.01641437418171597,0,star,7,NA,"[antlr, antlr.actions.cpp, antlr.actions.csharp, antlr.actions.java, antlr.actions.python, antlr.collections.impl, antlr.preprocessor]"
antlr,1,3.2,18,3.2,18,cyclicDep,699,3.2,18,,17719,NA,class,designOnly,NA,5.1875,NA,0,NA,NA,166,4,0,0,1.0,NA,NA,0.002494137958511163,0.007412359365808337,0,unclassified,6,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DFAState, org.antlr.analysis.DecisionProbe, org.antlr.analysis.NFAState, org.antlr.tool.ErrorManager, org.antlr.tool.GrammarDanglingStateMessage]"
antlr,1,3.1.3,17,3.1.3,17,cyclicDep,539,3.1.3,17,,15685,NA,class,designOnly,NA,1.3333333333333333,NA,0,NA,NA,8,2,0,0,1.0,NA,NA,0.0052850382312239555,0.008758061458040306,0,circle,3,NA,"[org.antlr.tool.ErrorManager, org.antlr.tool.GrammarAST, org.antlr.tool.GrammarInsufficientPredicatesMessage]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,347,3.1.1,15,,15326,NA,class,designOnly,NA,1.0,NA,0,NA,NA,4,3,0,0,0.5,NA,NA,0.0010958713416143813,0.0014926370090582563,0,tiny,2,NA,"[org.antlr.tool.ANTLRParser, org.antlr.tool.ANTLRParser$1]"
antlr,2,3.1,14,3.1.1,15,cyclicDep,347,3.1,14,,15326,NA,class,designOnly,NA,1.0,NA,0,NA,NA,4,3,0,0,0.5,NA,NA,0.0010958678063915954,0.0014926286150774978,0,tiny,2,NA,"[org.antlr.tool.ANTLRParser, org.antlr.tool.ANTLRParser$1]"
antlr,1,3.4,20,3.4,20,cyclicDep,920,3.4,20,,22029,NA,class,designOnly,NA,7.333333333333333,NA,0,NA,NA,352,7,0,0,1.0,NA,NA,0.002121369184210017,0.008122322835721228,0,unclassified,8,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DFAState, org.antlr.codegen.ACyclicDFACodeGenerator, org.antlr.codegen.CodeGenerator, org.antlr.tool.AttributeScope, org.antlr.tool.Grammar, org.antlr.tool.Interpreter, org.antlr.tool.NameSpaceChecker]"
antlr,1,3.1.3,17,3.1.3,17,cyclicDep,535,3.1.3,17,,15471,NA,class,designOnly,NA,9.2,NA,0,NA,NA,460,7,0,0,1.0,NA,NA,0.004701315593978765,0.012511702446387931,0,unclassified,9,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.Label, org.antlr.misc.IntervalSet, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarAST, org.antlr.tool.GrammarNonDeterminismMessage, org.antlr.tool.Interpreter, org.antlr.tool.NameSpaceChecker]"
antlr,3,2.7.3,7,2.7.5,9,cyclicDep,45,2.7.4,8,,4864,NA,class,designOnly,NA,6.0,NA,0,NA,NA,48,4,0,0,1.0,NA,NA,0.010516192190287786,0.018976105435580252,0,unclassified,3,NA,"[antlr.Grammar, antlr.LLkAnalyzer, antlr.Tool]"
antlr,3,2.7.3,7,2.7.5,9,cyclicDep,45,2.7.3,7,,4862,NA,class,designOnly,NA,6.0,NA,0,NA,NA,48,4,0,0,1.0,NA,NA,0.010512862260553512,0.018959980471910946,0,unclassified,3,NA,"[antlr.Grammar, antlr.LLkAnalyzer, antlr.Tool]"
antlr,3,2.7.3,7,2.7.5,9,cyclicDep,45,2.7.5,9,,5107,NA,class,designOnly,NA,6.0,NA,0,NA,NA,48,4,0,0,1.0,NA,NA,0.01053268542509845,0.018829908969449746,0,unclassified,3,NA,"[antlr.Grammar, antlr.LLkAnalyzer, antlr.Tool]"
antlr,1,4.0,22,4.0,22,cyclicDep,1150,4.0,22,,17963,NA,package,architecturalOnly,NA,4.333333333333333,NA,0,NA,NA,52,0,0,0,1.0,NA,NA,0.0027913893950961156,0.003261673827496713,0,clique,3,NA,"[org.antlr.v4.parse, org.antlr.v4.tool, org.antlr.v4.tool.ast]"
antlr,2,3.0,12,3.0.1,13,cyclicDep,129,3.0,12,,5308,NA,class,designOnly,NA,6.3076923076923075,NA,0,NA,NA,164,2,0,0,1.0,NA,NA,0.007407804034101047,0.012311244038141357,0,unclassified,7,NA,"[org.antlr.Tool, org.antlr.analysis.DFA, org.antlr.analysis.DecisionProbe, org.antlr.analysis.Label, org.antlr.analysis.SemanticContext$Predicate, org.antlr.codegen.CodeGenerator, org.antlr.tool.GrammarReport]"
